Category,Product Name,Product Description,Brand,Condition,Parent SKU Reference No.,Variation Integration No.,Variation Name 1,Option for Variation 1,Variation Name 2,Option for Variation 2,SKU Reference No.,Price,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Days to Ship,Warranty Duration,Warranty Type,Safety Mark,Air-Conditioner Type,Cooling/Heating,Country of Origin,Energy Rating,Cover Image,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6
Home Appliances > Cooling & Heating > Aircon,Mitsubishi Electric Starmex System 1 R32 Inverter Aircon 4 Ticks | Supply or Installed | Kool Aircon,"MITSUBISHI ELECTRIC STARMEX SYSTEM 1 R32 INVERTER AIRCON 4 TICKS

MODEL DETAILS
Series: Starmex R32 inverter
Outdoor unit: MSY-GP10VF single split
Default indoor set: 1 × 9,000 BTU/h indoor unit
Indoor range: MSXY-FP10VG 9,000 · MSXY-FP13VG 12,000 · MSXY-FP18VG 18,000 · MSXY-FP20VG 20,000 · MSXY-FP24VG 24,000 BTU/h
Refrigerant: R32
Energy rating: 4 Ticks (NEA)

OPTIONS
SUPPLY ONLY
Indoor and outdoor units delivered to your home in original manufacturer packaging. Installation is not included — choose this if you already have an installer. Want us to install? Select the Installation Included option instead.

INSTALLATION INCLUDED
Supply and installation by Kool Aircon's own technicians:
1. Site assessment — we confirm the right BTU and placement for each room before anything is drilled.
2. Indoor and outdoor units installed and positioned for airflow, cored holes sealed after the job.
3. Pipe and wiring run — insulated pipes, neatly trunked and concealed where possible.
4. Drainage set at the correct gradient, the most common cause of post-installation leaks.
5. Full operational test before we leave.

MATERIALS WE USE
• Gauge 21 copper pipe (thicker than the standard Gauge 22)
• ½ inch Kflex pipe insulation, fire propagation certified
• 16mm drainage pipe
• Appropriately rated 3-core wire cables
• DNE PVC trunking
• Grade 304 stainless steel brackets

WHAT MAY COST EXTRA
Price covers pipe runs up to 15 metres per unit. Longer runs, new brackets, powerpoints or isolator switches are identified during the site assessment and quoted before any work begins — no surprises on the day. Removal and disposal of your old unit can be arranged in the same visit; mention it on Shopee Chat.

HDB, condo and landed homes. For HDB installations we manage the approval process where required.

HOW TO ORDER
1. Select your option and check out.
2. Message us on Shopee Chat with your postal code and preferred date.
3. We confirm delivery or installation date within 2 working days.

Delivery within mainland Singapore. Nett pricing — no hidden fees.
Energy label and Climate Voucher eligibility: please refer to the NEA advisory on energy labels and voucher programmes for regulated goods.",Mitsubishi Electric,New,KA-MIT-S1,1,Type,Supply Only,,,KA-MIT-S1-SUP,779.44,5,,,,,3,,Manufacturer Warranty,Yes,Split-System Air Conditioner,Cooling,,4 Ticks,,https://kool-pi.vercel.app/images/services/installation/hero.png,https://kool-pi.vercel.app/images/services/installation/pipe-installation.png,https://kool-pi.vercel.app/images/services/installation/inspection.png,https://kool-pi.vercel.app/images/services/installation/brands.png,,
Home Appliances > Cooling & Heating > Aircon,,,,,KA-MIT-S1,1,Type,Installation Included,,,KA-MIT-S1-INS,848.90,5,,,,,3,,,,,,,,,,,,,,
Home Appliances > Cooling & Heating > Aircon,Mitsubishi Electric Starmex System 2 R32 Inverter Aircon 5 Ticks | Supply or Installed | Kool Aircon,"MITSUBISHI ELECTRIC STARMEX SYSTEM 2 R32 INVERTER AIRCON 5 TICKS

MODEL DETAILS
Series: Starmex R32 inverter
Outdoor unit: MXY-2H20VF
Default indoor set: 2 × MSXY-FP10VG (9,000 BTU/h each)
Indoor range: MSXY-FP10VG 9,000 · MSXY-FP13VG 12,000 · MSXY-FP18VG 18,000 · MSXY-FP20VG 20,000 · MSXY-FP24VG 24,000 BTU/h
Refrigerant: R32
Energy rating: 5 Ticks (NEA)

OPTIONS
SUPPLY ONLY
Indoor and outdoor units delivered to your home in original manufacturer packaging. Installation is not included — choose this if you already have an installer. Want us to install? Select the Installation Included option instead.

INSTALLATION INCLUDED
Supply and installation by Kool Aircon's own technicians:
1. Site assessment — we confirm the right BTU and placement for each room before anything is drilled.
2. Indoor and outdoor units installed and positioned for airflow, cored holes sealed after the job.
3. Pipe and wiring run — insulated pipes, neatly trunked and concealed where possible.
4. Drainage set at the correct gradient, the most common cause of post-installation leaks.
5. Full operational test before we leave.

MATERIALS WE USE
• Gauge 21 copper pipe (thicker than the standard Gauge 22)
• ½ inch Kflex pipe insulation, fire propagation certified
• 16mm drainage pipe
• Appropriately rated 3-core wire cables
• DNE PVC trunking
• Grade 304 stainless steel brackets

WHAT MAY COST EXTRA
Price covers pipe runs up to 15 metres per unit. Longer runs, new brackets, powerpoints or isolator switches are identified during the site assessment and quoted before any work begins — no surprises on the day. Removal and disposal of your old unit can be arranged in the same visit; mention it on Shopee Chat.

HDB, condo and landed homes. For HDB installations we manage the approval process where required.

HOW TO ORDER
1. Select your option and check out.
2. Message us on Shopee Chat with your postal code and preferred date.
3. We confirm delivery or installation date within 2 working days.

Delivery within mainland Singapore. Nett pricing — no hidden fees.
Energy label and Climate Voucher eligibility: please refer to the NEA advisory on energy labels and voucher programmes for regulated goods.",Mitsubishi Electric,New,KA-MIT-S2,1,Type,Supply Only,,,KA-MIT-S2-SUP,1700.20,5,,,,,3,,Manufacturer Warranty,Yes,Split-System Air Conditioner,Cooling,Thailand,5 Ticks,,https://kool-pi.vercel.app/images/services/installation/hero.png,https://kool-pi.vercel.app/images/services/installation/pipe-installation.png,https://kool-pi.vercel.app/images/services/installation/inspection.png,https://kool-pi.vercel.app/images/services/installation/brands.png,,
Home Appliances > Cooling & Heating > Aircon,,,,,KA-MIT-S2,1,Type,Installation Included,,,KA-MIT-S2-INS,1849.00,5,,,,,3,,,,,,,,,,,,,,
Home Appliances > Cooling & Heating > Aircon,Mitsubishi Electric Starmex System 3 R32 Inverter Aircon 5 Ticks | Supply or Installed | Kool Aircon,"MITSUBISHI ELECTRIC STARMEX SYSTEM 3 R32 INVERTER AIRCON 5 TICKS

MODEL DETAILS
Series: Starmex R32 inverter
Outdoor unit: MXY-3H28VG
Default indoor set: 3 × MSXY-FP10VG (9,000 BTU/h each)
Indoor range: MSXY-FP10VG 9,000 · MSXY-FP13VG 12,000 · MSXY-FP18VG 18,000 · MSXY-FP20VG 20,000 · MSXY-FP24VG 24,000 BTU/h
Refrigerant: R32
Energy rating: 5 Ticks (NEA)

OPTIONS
SUPPLY ONLY
Indoor and outdoor units delivered to your home in original manufacturer packaging. Installation is not included — choose this if you already have an installer. Want us to install? Select the Installation Included option instead.

INSTALLATION INCLUDED
Supply and installation by Kool Aircon's own technicians:
1. Site assessment — we confirm the right BTU and placement for each room before anything is drilled.
2. Indoor and outdoor units installed and positioned for airflow, cored holes sealed after the job.
3. Pipe and wiring run — insulated pipes, neatly trunked and concealed where possible.
4. Drainage set at the correct gradient, the most common cause of post-installation leaks.
5. Full operational test before we leave.

MATERIALS WE USE
• Gauge 21 copper pipe (thicker than the standard Gauge 22)
• ½ inch Kflex pipe insulation, fire propagation certified
• 16mm drainage pipe
• Appropriately rated 3-core wire cables
• DNE PVC trunking
• Grade 304 stainless steel brackets

WHAT MAY COST EXTRA
Price covers pipe runs up to 15 metres per unit. Longer runs, new brackets, powerpoints or isolator switches are identified during the site assessment and quoted before any work begins — no surprises on the day. Removal and disposal of your old unit can be arranged in the same visit; mention it on Shopee Chat.

HDB, condo and landed homes. For HDB installations we manage the approval process where required.

HOW TO ORDER
1. Select your option and check out.
2. Message us on Shopee Chat with your postal code and preferred date.
3. We confirm delivery or installation date within 2 working days.

Delivery within mainland Singapore. Nett pricing — no hidden fees.
Energy label and Climate Voucher eligibility: please refer to the NEA advisory on energy labels and voucher programmes for regulated goods.",Mitsubishi Electric,New,KA-MIT-S3,1,Type,Supply Only,,,KA-MIT-S3-SUP,2420.20,5,,,,,3,,Manufacturer Warranty,Yes,Split-System Air Conditioner,Cooling,Thailand,5 Ticks,,https://kool-pi.vercel.app/images/services/installation/hero.png,https://kool-pi.vercel.app/images/services/installation/pipe-installation.png,https://kool-pi.vercel.app/images/services/installation/inspection.png,https://kool-pi.vercel.app/images/services/installation/brands.png,,
Home Appliances > Cooling & Heating > Aircon,,,,,KA-MIT-S3,1,Type,Installation Included,,,KA-MIT-S3-INS,2659.90,5,,,,,3,,,,,,,,,,,,,,
Home Appliances > Cooling & Heating > Aircon,Mitsubishi Electric Starmex System 4 R32 Inverter Aircon 5 Ticks | Supply or Installed | Kool Aircon,"MITSUBISHI ELECTRIC STARMEX SYSTEM 4 R32 INVERTER AIRCON 5 TICKS

MODEL DETAILS
Series: Starmex R32 inverter
Outdoor unit: MXY-4H33VG
Default indoor set: 3 × MSXY-FP10VG + 1 × MSXY-FP24VG
Indoor range: MSXY-FP10VG 9,000 · MSXY-FP13VG 12,000 · MSXY-FP18VG 18,000 · MSXY-FP20VG 20,000 · MSXY-FP24VG 24,000 BTU/h
Refrigerant: R32
Energy rating: 5 Ticks (NEA)

OPTIONS
SUPPLY ONLY
Indoor and outdoor units delivered to your home in original manufacturer packaging. Installation is not included — choose this if you already have an installer. Want us to install? Select the Installation Included option instead.

INSTALLATION INCLUDED
Supply and installation by Kool Aircon's own technicians:
1. Site assessment — we confirm the right BTU and placement for each room before anything is drilled.
2. Indoor and outdoor units installed and positioned for airflow, cored holes sealed after the job.
3. Pipe and wiring run — insulated pipes, neatly trunked and concealed where possible.
4. Drainage set at the correct gradient, the most common cause of post-installation leaks.
5. Full operational test before we leave.

MATERIALS WE USE
• Gauge 21 copper pipe (thicker than the standard Gauge 22)
• ½ inch Kflex pipe insulation, fire propagation certified
• 16mm drainage pipe
• Appropriately rated 3-core wire cables
• DNE PVC trunking
• Grade 304 stainless steel brackets

WHAT MAY COST EXTRA
Price covers pipe runs up to 15 metres per unit. Longer runs, new brackets, powerpoints or isolator switches are identified during the site assessment and quoted before any work begins — no surprises on the day. Removal and disposal of your old unit can be arranged in the same visit; mention it on Shopee Chat.

HDB, condo and landed homes. For HDB installations we manage the approval process where required.

HOW TO ORDER
1. Select your option and check out.
2. Message us on Shopee Chat with your postal code and preferred date.
3. We confirm delivery or installation date within 2 working days.

Delivery within mainland Singapore. Nett pricing — no hidden fees.
Energy label and Climate Voucher eligibility: please refer to the NEA advisory on energy labels and voucher programmes for regulated goods.",Mitsubishi Electric,New,KA-MIT-S4,1,Type,Supply Only,,,KA-MIT-S4-SUP,2888.20,5,,,,,3,,Manufacturer Warranty,Yes,Split-System Air Conditioner,Cooling,Thailand,5 Ticks,,https://kool-pi.vercel.app/images/services/installation/hero.png,https://kool-pi.vercel.app/images/services/installation/pipe-installation.png,https://kool-pi.vercel.app/images/services/installation/inspection.png,https://kool-pi.vercel.app/images/services/installation/brands.png,,
Home Appliances > Cooling & Heating > Aircon,,,,,KA-MIT-S4,1,Type,Installation Included,,,KA-MIT-S4-INS,3199.00,5,,,,,3,,,,,,,,,,,,,,
Home Appliances > Cooling & Heating > Aircon,Daikin iSmileEco+ System 1 R32 Inverter Aircon 4 Ticks | Supply or Installed | Kool Aircon,"DAIKIN ISMILEECO+ SYSTEM 1 R32 INVERTER AIRCON 4 TICKS

MODEL DETAILS
Series: iSmileEco+ R32 inverter
Outdoor unit: RKM25ZVMG / FTKM25ZVMG single split
Default indoor set: 1 × FTKM25ZVMG (8,500 BTU/h)
Indoor range: CTKM25ZVMG 8,500 · CTKM35ZVMG 11,900 · CTKM50ZVMG 17,100 · CTKM60ZVMG 20,500 · CTKM71ZVMG 24,200 BTU/h
Refrigerant: R32
Energy rating: 4 Ticks (NEA)

OPTIONS
SUPPLY ONLY
Indoor and outdoor units delivered to your home in original manufacturer packaging. Installation is not included — choose this if you already have an installer. Want us to install? Select the Installation Included option instead.

INSTALLATION INCLUDED
Supply and installation by Kool Aircon's own technicians:
1. Site assessment — we confirm the right BTU and placement for each room before anything is drilled.
2. Indoor and outdoor units installed and positioned for airflow, cored holes sealed after the job.
3. Pipe and wiring run — insulated pipes, neatly trunked and concealed where possible.
4. Drainage set at the correct gradient, the most common cause of post-installation leaks.
5. Full operational test before we leave.

MATERIALS WE USE
• Gauge 21 copper pipe (thicker than the standard Gauge 22)
• ½ inch Kflex pipe insulation, fire propagation certified
• 16mm drainage pipe
• Appropriately rated 3-core wire cables
• DNE PVC trunking
• Grade 304 stainless steel brackets

WHAT MAY COST EXTRA
Price covers pipe runs up to 15 metres per unit. Longer runs, new brackets, powerpoints or isolator switches are identified during the site assessment and quoted before any work begins — no surprises on the day. Removal and disposal of your old unit can be arranged in the same visit; mention it on Shopee Chat.

HDB, condo and landed homes. For HDB installations we manage the approval process where required.

HOW TO ORDER
1. Select your option and check out.
2. Message us on Shopee Chat with your postal code and preferred date.
3. We confirm delivery or installation date within 2 working days.

Delivery within mainland Singapore. Nett pricing — no hidden fees.
Energy label and Climate Voucher eligibility: please refer to the NEA advisory on energy labels and voucher programmes for regulated goods.",Daikin,New,KA-DAI-S1,1,Type,Supply Only,,,KA-DAI-S1-SUP,821.89,5,,,,,3,,Manufacturer Warranty,Yes,Split-System Air Conditioner,Cooling,,4 Ticks,,https://kool-pi.vercel.app/images/services/installation/hero.png,https://kool-pi.vercel.app/images/services/installation/pipe-installation.png,https://kool-pi.vercel.app/images/services/installation/inspection.png,https://kool-pi.vercel.app/images/services/installation/brands.png,,
Home Appliances > Cooling & Heating > Aircon,,,,,KA-DAI-S1,1,Type,Installation Included,,,KA-DAI-S1-INS,1061.44,5,,,,,3,,,,,,,,,,,,,,
Home Appliances > Cooling & Heating > Aircon,Daikin iSmileEco+ System 2 R32 Inverter Aircon 5 Ticks | Supply or Installed | Kool Aircon,"DAIKIN ISMILEECO+ SYSTEM 2 R32 INVERTER AIRCON 5 TICKS

MODEL DETAILS
Series: iSmileEco+ R32 inverter
Outdoor unit: MKM50ZVMG
Default indoor set: 2 × CTKM25ZVMG (8,500 BTU/h each)
Indoor range: CTKM25ZVMG 8,500 · CTKM35ZVMG 11,900 · CTKM50ZVMG 17,100 · CTKM60ZVMG 20,500 · CTKM71ZVMG 24,200 BTU/h
Refrigerant: R32
Energy rating: 5 Ticks (NEA)

OPTIONS
SUPPLY ONLY
Indoor and outdoor units delivered to your home in original manufacturer packaging. Installation is not included — choose this if you already have an installer. Want us to install? Select the Installation Included option instead.

INSTALLATION INCLUDED
Supply and installation by Kool Aircon's own technicians:
1. Site assessment — we confirm the right BTU and placement for each room before anything is drilled.
2. Indoor and outdoor units installed and positioned for airflow, cored holes sealed after the job.
3. Pipe and wiring run — insulated pipes, neatly trunked and concealed where possible.
4. Drainage set at the correct gradient, the most common cause of post-installation leaks.
5. Full operational test before we leave.

MATERIALS WE USE
• Gauge 21 copper pipe (thicker than the standard Gauge 22)
• ½ inch Kflex pipe insulation, fire propagation certified
• 16mm drainage pipe
• Appropriately rated 3-core wire cables
• DNE PVC trunking
• Grade 304 stainless steel brackets

WHAT MAY COST EXTRA
Price covers pipe runs up to 15 metres per unit. Longer runs, new brackets, powerpoints or isolator switches are identified during the site assessment and quoted before any work begins — no surprises on the day. Removal and disposal of your old unit can be arranged in the same visit; mention it on Shopee Chat.

HDB, condo and landed homes. For HDB installations we manage the approval process where required.

HOW TO ORDER
1. Select your option and check out.
2. Message us on Shopee Chat with your postal code and preferred date.
3. We confirm delivery or installation date within 2 working days.

Delivery within mainland Singapore. Nett pricing — no hidden fees.
Energy label and Climate Voucher eligibility: please refer to the NEA advisory on energy labels and voucher programmes for regulated goods.",Daikin,New,KA-DAI-S2,1,Type,Supply Only,,,KA-DAI-S2-SUP,1875.20,5,,,,,3,,Manufacturer Warranty,Yes,Split-System Air Conditioner,Cooling,,5 Ticks,,https://kool-pi.vercel.app/images/services/installation/hero.png,https://kool-pi.vercel.app/images/services/installation/pipe-installation.png,https://kool-pi.vercel.app/images/services/installation/inspection.png,https://kool-pi.vercel.app/images/services/installation/brands.png,,
Home Appliances > Cooling & Heating > Aircon,,,,,KA-DAI-S2,1,Type,Installation Included,,,KA-DAI-S2-INS,2450.00,5,,,,,3,,,,,,,,,,,,,,
