Category,Product Name,Product Description,Brand,Condition,Parent SKU Reference No.,Variation Integration No.,Variation Name 1,Option for Variation 1,Variation Name 2,Option for Variation 2,SKU Reference No.,Price,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Days to Ship,Voucher Form,Country,Custom Product,Validity,Expiry Date,Cover Image,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing","Kool & Kleen Aircon General Servicing for HDB, Condo and Landed Homes","GENERAL SERVICING — your aircon's regular health check.

We clean everything that is accessible — filters, panels, cooling coil, drainage tray and blower wheel — without dismantling the unit. Fast, thorough, and designed to be done every 3 months.

BEST FOR
• Routine quarterly maintenance
• Rental and tenancy handover cleans
• Keeping electricity consumption down between deeper services

WHAT IS INCLUDED (every unit, every visit)
1. Filter, panel and blower wheel clean — we remove and clean the air filter, wipe down the front panel and cover, and vacuum and brush the blower wheel. Dust build-up here is one of the most common reasons an aircon stops feeling cold.
2. Drainage tray flush — we flush the drainage tray and vacuum the condensate pipe. A blocked drain is the number one cause of water leaking from an aircon.
3. Electrical check and fan motor tighten — we check and tighten all electrical connections and the fan motor bearing. Loose connections reduce efficiency over time and can cause faults.

HOW LONG IT TAKES
About 30–45 minutes per unit. A typical 3-unit home takes around 2 hours.

PRICING
The price you select is the total price for that number of units. Nett pricing — no travel charge, no hidden fees, no hard selling.

OUR GUARANTEE
Every service includes our 48-hour satisfaction guarantee. If something is not right, tell us within 48 hours and we will come back.

HOW TO BOOK
1. Select your number of units and check out.
2. Message us here on Shopee Chat with your postal code and preferred date.
3. We confirm your slot and arrive as scheduled.

COVERAGE
HDB, condominium and landed homes across mainland Singapore.

NOT SURE WHICH SERVICE YOU NEED?
If your unit is not cooling well, smells musty, or has not been serviced in over 6 months, a general service may not be enough — look at our Chemical Wash or KoolJet Wash listing instead.",Kool Aircon,New,KA-GEN,1,Number of Units,1 unit,,,KA-GEN-1U,50.00,999,0.01,1,1,1,2,Digital,Singapore,No,6 months,31-12-2049,https://kool-pi.vercel.app/images/services/general-servicing/hero.png,https://kool-pi.vercel.app/images/services/general-servicing/blower-wheel.png,https://kool-pi.vercel.app/images/services/general-servicing/drainage-flush.png,https://kool-pi.vercel.app/images/services/general-servicing/inspection.png,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-GEN,1,Number of Units,2 units,,,KA-GEN-2U,65.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-GEN,1,Number of Units,3 units,,,KA-GEN-3U,75.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-GEN,1,Number of Units,4 units,,,KA-GEN-4U,85.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-GEN,1,Number of Units,5 units,,,KA-GEN-5U,95.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-GEN,1,Number of Units,6 units,,,KA-GEN-6U,114.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-GEN,1,Number of Units,7 units,,,KA-GEN-7U,133.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-GEN,1,Number of Units,8 units,,,KA-GEN-8U,152.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing","Kool & Kleen KoolJet High-Pressure Aircon Jet Wash","KOOLJET WASH — a significant step up from general servicing, without the full dismantle of a chemical wash.

We remove the cover, drainage tray and blower wheel, then use a high-pressure water jet to blast out dirt, dust and debris that hand cleaning simply cannot reach — including compacted grime on the evaporator coil and inside the drainage pipe.

BEST FOR
• Poor cooling
• Foul or musty odours
• Unusual noise
• First clean in 6+ months
• Post-renovation dust build-up
• Anyone who wants more than a standard service without going to a chemical wash

WHY A JET WASH WORKS
A technician's brush and vacuum are effective on accessible surfaces. Compacted grime on the evaporator coil fins and debris lodged deep in the drainage pipe need more than contact cleaning to shift. High-pressure water dislodges this build-up completely, leaving the internals genuinely cleaner than hand cleaning achieves.

WHAT IS INCLUDED (every unit)
1. Protective setup — protective cover and collection bag fitted around the unit. Nothing drips down your wall or pools on your floor.
2. Jetwash filters and panels — removing built-up dust and debris that vacuuming alone cannot dislodge.
3. Jetwash blower and drainage trays — the blower wheel and drainage tray are jetwashed individually, reaching compacted grime that standard servicing physically cannot shift.
4. Jetwash fan coil — we jetwash the coil fins directly, flushing out compacted dirt from deep inside.
5. Drainage tray and pipe vacuum — the tray and condensate pipe are fully flushed and vacuumed.

PRICING
Flat rate of $60 per unit. No price variation by BTU. The price you select is the total for that number of units.

WHEN TO CHOOSE THIS OVER A CHEMICAL WASH
A chemical wash involves removing and chemically treating internal components — the right solution when there is a specific underlying problem such as visible mould. A KoolJet wash delivers a significantly deeper clean than a general service without that level of intervention. Done every 3 months in place of a standard service, it prevents the gradual build-up that accumulates visit after visit.

OUR GUARANTEE
48-hour satisfaction guarantee on every job. Nett pricing — no travel charge, no hidden fees.

HOW TO BOOK
Select your number of units, check out, then message us on Shopee Chat with your postal code and preferred date.",Kool Aircon,New,KA-KJT,1,Number of Units,1 unit,,,KA-KJT-1U,60.00,999,0.01,1,1,1,2,Digital,Singapore,No,6 months,31-12-2049,https://kool-pi.vercel.app/images/services/kooljet/hero.png,https://kool-pi.vercel.app/images/services/kooljet/setup.png,https://kool-pi.vercel.app/images/services/kooljet/components-clean.png,https://kool-pi.vercel.app/images/services/kooljet/fancoil.png,https://kool-pi.vercel.app/images/services/general-servicing/drainage-flush.png,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-KJT,1,Number of Units,2 units,,,KA-KJT-2U,120.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-KJT,1,Number of Units,3 units,,,KA-KJT-3U,180.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-KJT,1,Number of Units,4 units,,,KA-KJT-4U,240.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-KJT,1,Number of Units,5 units,,,KA-KJT-5U,300.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-KJT,1,Number of Units,6 units,,,KA-KJT-6U,360.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing","Kool & Kleen Aircon Chemical Wash with Bio-Enzyme Option","CHEMICAL WASH — where general servicing cleans the surface, a chemical wash goes deeper.

We remove the internal components, apply a certified bio-enzyme compound directly to the fan coil and drainage system — reaching the mould, bacteria and grime a standard service cannot touch — then rinse, vacuum and reassemble.

BEST FOR
• Poor cooling
• Foul or musty odours
• Unusual noise
• First clean in 6+ months

WHY YOU MIGHT NEED ONE
• Your aircon smells musty or stale. That smell is mould and bacteria growing inside the coil — deep inside the unit, which is why it persists even after a general service. A chemical wash flushes the entire coil, eliminating the source rather than masking it.
• Your aircon still is not cold after a general service. The coil likely has a deeper layer of compacted grime restricting heat exchange. Surface cleaning will not fix this — the coil needs to be chemically flushed.
• You can see mould on the filter or coil. Visible mould means the colony is established and actively spreading through the air your family breathes.

WHAT IS INCLUDED (every unit)
1. Protective setup — protective cover and collection bag fitted. Nothing drips down your wall or pools on your floor.
2. Clean filters with cleaning agent — filters soaked and scrubbed to remove built-up dust and bacteria.
3. Deep clean blower and drainage trays — the blower wheel is removed and scrubbed. This is the component most chemical washes miss.
4. Deep clean fan coil — cleaning compound applied directly to the fan coil and flushed through with clean water, breaking down mould and bacteria.
5. Drainage tray and pipe vacuum — tray and condensate pipe fully flushed and vacuumed.
6. Drying and internal wipe down — all internal surfaces wiped and dried before reassembly. Reassembling a wet unit traps moisture and encourages mould to return faster.

BIO-ENZYME OPTION
We offer both a traditional chemical solution and a gentler bio-enzyme solution, suitable for homes with children, elderly family members and pets. Tell us which you prefer on Shopee Chat after ordering.

HOW LONG IT TAKES
About 45–60 minutes per unit. The solution needs time to work before rinsing.

HOW OFTEN
Once every 6 months is typical for most Singapore homes, alongside quarterly general servicing.

IF IT DOES NOT FIX THE COOLING
If your aircon still is not performing after the wash, we do not just pack up and leave. We run a full diagnostic on the spot — refrigerant levels, compressor pressure and electrical components — and tell you exactly what the issue is and what it will cost. No charge for the diagnostic, no pressure to proceed.

PRICING
The price you select is the total for that number of units. Nett pricing — no travel charge, no hidden fees. 48-hour satisfaction guarantee.",Kool Aircon,New,KA-CW,1,Number of Units,1 unit,,,KA-CW-1U,80.00,999,0.01,1,1,1,2,Digital,Singapore,No,6 months,31-12-2049,https://kool-pi.vercel.app/images/services/chemical-wash/hero.png,https://kool-pi.vercel.app/images/services/chemical-wash/set-up.png,https://kool-pi.vercel.app/images/services/chemical-wash/filter-clean.png,https://kool-pi.vercel.app/images/services/chemical-wash/component-clean.png,https://kool-pi.vercel.app/images/services/chemical-wash/evaporator-clean.png,https://kool-pi.vercel.app/images/services/general-servicing/drainage-flush.png,https://kool-pi.vercel.app/images/services/chemical-wash/drying.png
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CW,1,Number of Units,2 units,,,KA-CW-2U,150.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CW,1,Number of Units,3 units,,,KA-CW-3U,220.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CW,1,Number of Units,4 units,,,KA-CW-4U,280.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CW,1,Number of Units,5 units,,,KA-CW-5U,350.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CW,1,Number of Units,6 units,,,KA-CW-6U,420.00,999,0.01,1,1,1,2,,,,,,,,,,,,
